idEstacion,nombre,latitud,longitud
LR-EZEIZ,EZEIZA,-34.8540842,-58.5228154
LR-HEZEI,HOSPITAL EZEIZA,-34.8645504,-58.5361065
LR-UFERR,UNIÓN FERROVIARIA,-34.8702432,-58.5434227
LR-SPEGA,CARLOS SPEGAZZINI,-34.8905761,-58.5694728
LR-TSUAR,TRISTÁN SUÁREZ,-34.9100305,-58.5944238
LR-MAPAZ,MÁXIMO PAZ,-34.9362878,-58.6205451
LR-CASAR,V. CASARES,-34.9622855,-58.6480259
LR-PETIO,A. PETIÓN,-34.9775385,-58.6743571
LR-KLOOS,KLOOSTERMAN,-34.9864590,-58.6897619
LR-LEVEN,R. LEVENE,-35.0217509,-58.7239218
LR-HCALT,HTAL. CUENCA ALTA,-35.0264121,-58.7290951
LR-CANUE,CAÑUELAS,-35.0593556,-58.7543291
LR-JMARM,JOSÉ MÁRMOL,-34.7919121,-58.3811522
LR-RCALZ,RAFAEL CALZADA,-34.7966735,-58.3591724
LR-CLAYP,CLAPYPOLE,-34.8011800,-58.3382367
LR-ARDIG,DANTE ARDIGÓ,-34.8088901,-58.3025039
LR-FVARE,FLORENCIO VARELA,-34.8111227,-58.2742679
LR-ZEBAL,ZEBALLOS,-34.8110162,-58.2566214
LR-BOSQU,BOSQUES,-34.8195018,-58.2303679
LR-VESPA,VILLA ESPAÑA,-34.7744501,-58.1949303
LR-RANEL,RANELAGH,-34.7893721,-58.2031929
LR-SOURI,SOURIGUES,-34.8072374,-58.2131028
LR-ADROG,-34.7978483,-58.3942737
LR-BURZA,BURZACO,-34.8251482,-58.3913722
LR-LONGC,LONGCHAMPS,-34.8595879,-58.3871987
LR-JGLEW,JUAN GLEW,-34.8886501,-58.3837029
LR-GUERN,GUERNICA,-34.9179155,-58.3805605
LR-AKORN,ALEJANDRO KORN,-34.9807690,-58.3737744
