SERVICIO,LR-CONST,LR-HYRIG,LR-AVELL,LR-GERLI,LR-LANUS,LR-ESCAL,LR-BANFI,LR-LZAMO,LR-TEMPE,LR-TURDE,LR-LLAVA,LR-LGUIL,LR-MGRAN,LR-JAGUE,LR-EZEIZ
3257,17:28,,17:35,17:38,17:42,17:44,17:46,17:49,17:51,17:55,18:00,18:03,18:06,18:10,18:14
3261,17:36,,17:43,17:47,17:51,17:54,17:57,18:00,18:03,18:07,18:12,18:15,18:18,18:22,18:26
3265,17:52,,17:59,18:02,18:06,18:08,18:10,18:13,18:15,18:19,18:24,18:27,18:30,18:34,18:38
3269,18:00,,18:07,18:11,18:15,18:18,18:21,18:24,18:27,18:31,18:36,18:39,18:42,18:46,18:50
3273,18:16,,18:23,18:26,18:30,18:32,18:34,18:37,18:39,18:43,18:48,18:51,18:54,18:58,19:02
3277,18:24,,18:31,18:35,18:39,18:42,18:45,18:48,18:51,18:55,19:00,19:03,19:06,19:10,19:14
3281,18:40,,18:47,18:50,18:54,18:56,18:58,19:01,19:03,19:07,19:12,19:15,19:18,19:22,19:26
3285,18:48,,18:55,18:59,19:03,19:06,19:09,19:12,19:15,19:19,19:24,19:27,19:30,19:34,19:38
3289,19:04,,19:11,19:14,19:18,19:20,19:22,19:25,19:27,19:31,19:36,19:39,19:42,19:46,19:50
3293,19:12,,19:19,19:23,19:27,19:30,19:33,19:36,19:39,19:43,19:48,19:51,19:54,19:58,20:02
3297,19:28,,19:35,19:38,19:42,19:44,19:46,19:49,19:51,19:55,20:00,20:03,20:06,20:10,20:14
3301,19:36,,19:43,19:47,19:51,19:54,19:57,20:00,20:03,20:07,20:12,20:15,20:18,20:22,20:26
3305,19:52,,19:59,20:02,20:06,20:08,20:10,20:13,20:15,20:19,20:24,20:27,20:30,20:34,20:38
3309,20:00,,20:07,20:11,20:15,20:18,20:21,20:24,20:27,20:31,20:36,20:39,20:42,20:46,20:50
3313,20:16,,20:23,20:27,20:31,20:34,20:37,20:40,20:43,20:47,20:52,20:55,20:58,21:02,21:06
3317,20:32,,20:39,20:43,20:47,20:50,20:53,20:56,20:59,21:03,21:08,21:11,21:14,21:18,21:22
